make,model,year,mileage,engine_size,transmission,fuel_type,terrain_type,avg_road_quality,days_since_service,driving_style,service_needed
Toyota,Yaris,2014,33284,1.3,Automatic,Diesel,Hills,5,556,normal,1
Toyota,Hilux,2023,18015,2.1,Manual,Diesel,Hills,5,4,normal,0
Hyundai,Creta,2018,69640,0.8,Automatic,Petrol,Hills,5,385,rough,1
Hyundai,Creta,2016,50728,1.8,Manual,Petrol,Hills,2,514,smooth,1
Tata,Altroz,2016,5802,2.2,Manual,Diesel,Hills,2,572,smooth,1
Suzuki,Baleno,2011,126001,1.9,Automatic,Diesel,Highway,1,440,rough,1
Kia,Seltos,2003,71285,1.1,Automatic,Petrol,Urban,2,183,smooth,1
Suzuki,Swift,2000,5064,1.6,Automatic,Petrol,Urban,4,496,rough,1
Tata,Nexon,2005,13960,2.2,Automatic,Diesel,Hills,1,472,normal,1
Mahindra,Bolero,2016,35628,1.1,Automatic,Diesel,Highway,5,138,smooth,0
Kia,Sportage,2001,89861,1.8,Automatic,Petrol,Highway,5,528,rough,1
Toyota,Yaris,1999,149375,0.9,Automatic,Petrol,Urban,4,15,rough,0
Toyota,Yaris,2011,53511,2.3,Automatic,Diesel,Hills,4,126,rough,1
Tata,Tiago,2021,140733,0.9,Manual,Diesel,Highway,1,231,normal,1
Mahindra,Bolero,2022,51322,2.0,Automatic,Petrol,Urban,5,223,smooth,1
Toyota,Yaris,1998,189287,1.3,Manual,Petrol,Urban,4,214,normal,0
Tata,Tiago,2020,122211,2.4,Automatic,Petrol,Hills,1,500,rough,1
Tata,Nexon,2012,105985,1.5,Automatic,Petrol,Urban,4,92,rough,0
Kia,Sportage,2009,115192,0.9,Manual,Diesel,Urban,2,302,rough,1
Kia,Sonet,1999,8397,2.3,Manual,Diesel,Highway,2,392,normal,1
Tata,Nexon,2018,197291,0.9,Automatic,Petrol,Urban,1,70,rough,0
Mahindra,XUV300,2021,65408,1.9,Automatic,Diesel,Highway,3,142,normal,0
Tata,Nexon,2000,86443,1.5,Manual,Diesel,Urban,4,259,rough,1
Hyundai,Venue,2007,72381,1.3,Automatic,Diesel,Urban,3,240,smooth,1
Mahindra,XUV300,2008,89217,1.5,Manual,Diesel,Urban,5,95,rough,0
Suzuki,Baleno,2007,44538,2.4,Automatic,Petrol,Highway,1,218,rough,1
Kia,Sportage,2015,56106,1.0,Automatic,Petrol,Highway,5,151,smooth,0
Tata,Altroz,2013,86470,1.3,Automatic,Diesel,Hills,4,83,smooth,0
Tata,Nexon,2006,82711,1.1,Manual,Diesel,Highway,5,377,rough,1
Mahindra,Bolero,2005,107213,1.9,Manual,Petrol,Hills,5,399,rough,1
Tata,Nexon,2012,166394,1.4,Automatic,Diesel,Highway,2,4,smooth,0
Mahindra,XUV300,2020,113030,2.2,Manual,Petrol,Hills,5,513,normal,1
Suzuki,Baleno,2019,112383,1.8,Manual,Petrol,Urban,4,319,smooth,0
Tata,Tiago,2016,72201,1.8,Automatic,Petrol,Hills,5,342,smooth,1
Tata,Tiago,1998,165867,1.0,Automatic,Petrol,Highway,4,352,smooth,0
Kia,Sonet,2004,51242,1.0,Automatic,Diesel,Hills,2,422,normal,1
Tata,Altroz,2016,33750,2.4,Automatic,Diesel,Hills,5,210,smooth,1
Kia,Sonet,1998,127158,1.5,Automatic,Petrol,Urban,1,219,smooth,1
Suzuki,Alto,2002,115808,0.9,Manual,Diesel,Hills,2,374,rough,1
Tata,Altroz,2008,29720,1.2,Automatic,Petrol,Highway,1,41,rough,0
Tata,Altroz,1999,51838,1.6,Automatic,Diesel,Urban,2,287,smooth,1
Tata,Tiago,2007,123424,1.6,Automatic,Diesel,Highway,2,221,smooth,1
Hyundai,i10,2008,184374,0.9,Automatic,Diesel,Urban,4,14,rough,0
Suzuki,Alto,1999,75663,2.1,Manual,Diesel,Urban,1,492,normal,1
Suzuki,Baleno,2005,149708,2.2,Manual,Petrol,Hills,3,340,normal,1
Toyota,Corolla,2001,47400,1.1,Manual,Petrol,Highway,1,473,normal,1
Tata,Nexon,2017,118106,1.9,Automatic,Diesel,Highway,5,494,rough,1
Suzuki,Swift,2004,33881,1.7,Automatic,Petrol,Highway,4,398,smooth,0
Toyota,Yaris,2003,164729,1.5,Automatic,Diesel,Highway,1,128,rough,1
Kia,Seltos,1998,183763,2.2,Manual,Diesel,Highway,1,217,smooth,1
Toyota,Yaris,2016,188770,1.0,Automatic,Diesel,Hills,2,459,rough,1
Kia,Sportage,2006,120446,1.4,Manual,Diesel,Urban,4,238,rough,1
Tata,Altroz,2005,51720,0.8,Automatic,Petrol,Highway,2,47,rough,0
Mahindra,Scorpio,2014,188890,1.8,Manual,Petrol,Highway,3,35,smooth,0
Mahindra,Bolero,2012,190282,0.9,Automatic,Petrol,Highway,5,402,normal,1
Toyota,Yaris,2008,168926,2.4,Automatic,Petrol,Highway,4,338,smooth,0
Tata,Nexon,2012,68227,1.1,Automatic,Diesel,Urban,4,81,smooth,0
Toyota,Hilux,2014,144295,1.0,Automatic,Petrol,Highway,1,48,normal,0
Tata,Tiago,2015,127540,1.7,Manual,Petrol,Urban,5,108,rough,0
Toyota,Hilux,2002,107471,1.5,Automatic,Diesel,Highway,3,293,smooth,1
Hyundai,Creta,1998,14273,1.5,Automatic,Petrol,Hills,1,266,rough,1
Suzuki,Swift,2021,46095,1.1,Automatic,Diesel,Highway,5,147,normal,0
Toyota,Corolla,2018,117441,0.8,Automatic,Diesel,Hills,4,241,smooth,1
Tata,Altroz,2003,130716,2.1,Automatic,Diesel,Urban,2,387,rough,1
Mahindra,Bolero,2020,152712,1.8,Manual,Petrol,Hills,1,219,normal,1
Tata,Altroz,1998,159014,2.4,Manual,Diesel,Highway,2,531,smooth,1
Mahindra,XUV300,1999,196358,1.5,Manual,Diesel,Hills,4,188,normal,1
Tata,Altroz,2015,24818,1.0,Manual,Diesel,Highway,1,142,normal,0
Tata,Tiago,2015,193701,1.3,Automatic,Diesel,Highway,3,122,smooth,0
Mahindra,Scorpio,2021,171862,2.0,Automatic,Diesel,Highway,2,0,normal,0
Hyundai,Venue,2016,170243,1.8,Automatic,Diesel,Urban,1,60,normal,0
Tata,Nexon,2015,115168,1.9,Automatic,Petrol,Highway,4,296,rough,1
Toyota,Corolla,2012,7789,1.2,Automatic,Petrol,Urban,2,230,rough,1
Kia,Sportage,2019,159049,1.2,Manual,Diesel,Hills,4,275,smooth,1
Tata,Nexon,2013,37626,1.1,Manual,Petrol,Urban,2,25,smooth,0
Suzuki,Wagon R,2022,11833,2.1,Manual,Petrol,Highway,4,189,rough,1
Toyota,Yaris,1999,134809,1.0,Automatic,Diesel,Highway,4,408,rough,1
Mahindra,Bolero,2017,166992,1.7,Manual,Petrol,Highway,4,426,normal,0
Toyota,Yaris,2008,158581,0.8,Manual,Petrol,Urban,5,257,rough,1
Mahindra,XUV300,2019,75618,2.3,Automatic,Diesel,Urban,5,434,normal,0
Suzuki,Alto,2007,12495,1.4,Manual,Diesel,Hills,5,248,normal,1
Mahindra,XUV300,2018,33346,1.5,Automatic,Petrol,Urban,5,335,smooth,0
Hyundai,i20,2015,164876,1.5,Automatic,Petrol,Hills,4,316,normal,1
Mahindra,Bolero,2012,180485,1.8,Automatic,Diesel,Highway,5,118,rough,1
Tata,Nexon,2018,44646,1.2,Manual,Diesel,Urban,1,452,normal,1
Kia,Sonet,2006,22116,0.9,Manual,Petrol,Hills,5,84,normal,0
Suzuki,Wagon R,2010,97452,1.7,Automatic,Petrol,Urban,5,334,rough,1
Mahindra,Bolero,2017,73227,2.2,Manual,Diesel,Hills,3,132,smooth,0
Toyota,Corolla,2019,190381,1.8,Automatic,Diesel,Hills,2,292,rough,1
Mahindra,Bolero,2010,176916,1.3,Manual,Diesel,Highway,5,19,smooth,0
Kia,Seltos,2020,160511,1.5,Automatic,Diesel,Urban,5,114,rough,0
Hyundai,i10,2017,105350,1.3,Manual,Petrol,Highway,2,394,rough,1
Tata,Nexon,2002,6048,2.1,Automatic,Petrol,Highway,3,82,rough,0
Mahindra,XUV300,1999,123918,1.9,Manual,Petrol,Highway,3,397,smooth,0
Tata,Altroz,2017,167125,2.0,Automatic,Petrol,Highway,5,368,normal,0
Tata,Tiago,2012,20829,1.0,Manual,Petrol,Hills,1,442,normal,1
Toyota,Yaris,2014,33215,1.0,Automatic,Diesel,Highway,3,287,rough,1
Tata,Altroz,2006,69714,1.7,Manual,Petrol,Urban,2,564,rough,1
Kia,Sonet,2016,176988,0.9,Manual,Diesel,Hills,4,179,smooth,0
Suzuki,Wagon R,2019,102423,1.8,Manual,Petrol,Highway,3,407,rough,1
Mahindra,Bolero,2010,176226,1.2,Manual,Petrol,Highway,3,169,normal,0
Suzuki,Alto,2023,33609,0.9,Automatic,Petrol,Hills,1,518,smooth,1
Tata,Nexon,2013,60391,2.0,Automatic,Petrol,Urban,4,32,smooth,0
Mahindra,XUV300,2021,155178,1.6,Manual,Petrol,Hills,4,41,rough,0
Hyundai,Creta,2006,32328,1.8,Manual,Petrol,Urban,4,141,normal,0
Suzuki,Wagon R,2019,180587,1.0,Manual,Petrol,Urban,3,215,rough,1
Suzuki,Alto,2005,99853,1.2,Manual,Petrol,Hills,2,412,smooth,1
Toyota,Corolla,2005,170157,2.1,Automatic,Petrol,Urban,5,407,smooth,1
Hyundai,Creta,2006,57715,2.0,Manual,Petrol,Urban,2,264,smooth,1
Kia,Sportage,2017,42095,1.1,Manual,Diesel,Highway,2,547,normal,1
Suzuki,Baleno,2019,37814,1.4,Automatic,Petrol,Urban,1,68,rough,0
Hyundai,Venue,2006,143517,1.3,Manual,Petrol,Hills,2,396,smooth,1
Toyota,Yaris,2017,89755,1.0,Manual,Diesel,Urban,5,222,smooth,0
Mahindra,Scorpio,2022,80015,1.5,Manual,Diesel,Urban,1,328,smooth,1
Tata,Tiago,2007,28345,1.2,Automatic,Petrol,Urban,5,525,smooth,0
Suzuki,Baleno,2014,132022,1.9,Manual,Petrol,Hills,2,465,smooth,1
Tata,Altroz,2010,156023,2.2,Automatic,Diesel,Highway,2,159,smooth,0
Kia,Seltos,2009,152816,0.9,Manual,Petrol,Highway,5,160,smooth,0
Toyota,Hilux,2017,6934,2.2,Automatic,Diesel,Urban,4,88,normal,0
Hyundai,Venue,2010,30358,1.7,Automatic,Petrol,Hills,4,545,rough,1
Mahindra,Scorpio,2016,88997,2.2,Manual,Petrol,Urban,5,490,rough,1
Suzuki,Wagon R,2019,90507,1.0,Automatic,Diesel,Hills,3,28,normal,0
Hyundai,Venue,2007,156207,1.0,Manual,Petrol,Highway,5,127,rough,0
Toyota,Hilux,2003,13680,0.9,Automatic,Petrol,Hills,2,523,rough,1
Suzuki,Swift,2000,160381,1.0,Manual,Diesel,Hills,5,244,rough,1
Kia,Seltos,2023,31525,2.0,Automatic,Diesel,Urban,5,238,smooth,0
Mahindra,Scorpio,2014,49659,2.2,Manual,Petrol,Urban,3,533,normal,0
Tata,Nexon,2011,49350,1.5,Automatic,Petrol,Hills,3,248,smooth,1
Hyundai,Creta,2006,97792,1.2,Automatic,Diesel,Hills,5,583,smooth,1
Toyota,Yaris,2023,76947,1.0,Automatic,Diesel,Highway,1,527,normal,1
Hyundai,i10,2008,197153,2.0,Automatic,Diesel,Hills,2,253,rough,1
Mahindra,Bolero,2015,148314,2.2,Automatic,Diesel,Hills,2,514,smooth,1
Suzuki,Swift,2005,46578,1.8,Manual,Petrol,Hills,2,206,normal,1
Tata,Nexon,2007,118792,2.0,Automatic,Diesel,Hills,5,368,smooth,1
Hyundai,i20,2009,127814,0.9,Automatic,Diesel,Highway,4,24,normal,0
Kia,Sonet,2006,109564,2.2,Automatic,Petrol,Urban,1,440,normal,1
Mahindra,Bolero,2000,138824,1.7,Automatic,Diesel,Hills,2,343,rough,1
Tata,Nexon,2008,175567,1.3,Automatic,Petrol,Highway,2,104,rough,0
Tata,Tiago,2016,188915,1.7,Automatic,Diesel,Highway,5,234,smooth,0
Toyota,Yaris,2021,65726,1.7,Automatic,Diesel,Hills,5,288,normal,1
Toyota,Hilux,2023,43880,2.2,Manual,Petrol,Highway,2,349,smooth,1
Tata,Tiago,2005,193375,2.0,Manual,Petrol,Hills,4,334,smooth,1
Suzuki,Alto,2022,192038,2.1,Automatic,Petrol,Urban,3,324,normal,0
Tata,Tiago,2002,170139,2.1,Manual,Petrol,Urban,4,284,rough,1
Suzuki,Alto,2005,23193,1.3,Automatic,Petrol,Hills,5,164,smooth,0
Kia,Sportage,2002,12012,1.5,Automatic,Diesel,Highway,4,343,normal,1
Mahindra,XUV300,2016,28099,1.2,Automatic,Petrol,Hills,1,126,rough,1
Suzuki,Baleno,1999,190306,1.9,Manual,Petrol,Urban,3,2,rough,0
Suzuki,Baleno,2019,106733,1.5,Automatic,Petrol,Hills,2,433,smooth,1
Kia,Sportage,2019,66721,2.3,Automatic,Petrol,Highway,5,375,normal,0
Toyota,Corolla,2023,92333,2.2,Manual,Diesel,Hills,4,20,rough,0
Hyundai,Venue,1998,22984,0.9,Automatic,Diesel,Hills,3,594,normal,1
Tata,Altroz,2015,171571,1.6,Automatic,Diesel,Highway,5,48,smooth,0
Suzuki,Swift,2003,41516,1.8,Automatic,Petrol,Hills,1,396,normal,1
Kia,Sportage,2008,67198,1.4,Automatic,Petrol,Highway,2,96,rough,0
Hyundai,i10,2005,81352,1.9,Manual,Diesel,Hills,5,185,rough,1
Toyota,Hilux,2021,74895,2.2,Manual,Petrol,Hills,3,53,rough,0
Kia,Seltos,2003,3615,1.8,Manual,Diesel,Urban,4,292,normal,1
Kia,Sportage,2000,70875,1.1,Manual,Petrol,Highway,4,48,normal,0
Suzuki,Wagon R,2003,185495,1.7,Automatic,Diesel,Hills,1,109,smooth,1
Tata,Tiago,2017,136672,2.4,Automatic,Petrol,Hills,2,305,rough,1
Tata,Tiago,2017,41469,1.8,Manual,Petrol,Urban,2,150,rough,1
Mahindra,Scorpio,2009,63012,0.9,Manual,Petrol,Urban,5,555,normal,0
Hyundai,Creta,2017,27642,1.1,Manual,Diesel,Highway,2,154,smooth,0
Tata,Tiago,2016,139763,1.6,Manual,Diesel,Urban,1,466,smooth,1
Mahindra,Scorpio,2006,192123,1.0,Manual,Petrol,Urban,1,158,normal,0
Kia,Seltos,2015,37571,1.6,Automatic,Petrol,Hills,1,250,smooth,1
Mahindra,Scorpio,2012,75795,1.0,Automatic,Diesel,Highway,3,574,rough,1
Hyundai,i10,2003,14230,1.7,Automatic,Petrol,Highway,3,477,rough,1
Kia,Seltos,2014,72110,2.2,Automatic,Petrol,Urban,5,119,rough,0
Tata,Nexon,2018,17962,1.0,Automatic,Petrol,Urban,4,135,normal,0
Tata,Tiago,2018,80332,1.7,Manual,Diesel,Highway,3,26,normal,0
Hyundai,i10,2006,86040,1.1,Automatic,Diesel,Hills,4,299,rough,1
Hyundai,Creta,2008,64726,1.7,Automatic,Petrol,Urban,4,75,normal,0
Hyundai,Venue,2014,24134,1.3,Manual,Petrol,Highway,4,327,smooth,0
Tata,Tiago,1999,136485,1.7,Automatic,Diesel,Hills,4,385,normal,1
Toyota,Hilux,2014,124657,1.2,Manual,Diesel,Urban,1,286,rough,1
Mahindra,Scorpio,1999,188431,1.0,Automatic,Diesel,Urban,1,106,rough,1
Toyota,Corolla,2014,41345,1.5,Automatic,Petrol,Urban,4,497,smooth,1
Kia,Sportage,2017,108137,2.2,Automatic,Diesel,Urban,3,206,rough,1
Suzuki,Baleno,2017,177473,1.3,Automatic,Diesel,Hills,2,119,normal,0
Toyota,Yaris,2006,158435,1.3,Manual,Diesel,Highway,1,233,rough,1
Mahindra,Bolero,2022,77329,2.1,Automatic,Petrol,Hills,4,367,smooth,1
Tata,Tiago,2009,194112,2.4,Manual,Petrol,Hills,2,200,smooth,1
Mahindra,Bolero,2023,26010,2.1,Automatic,Diesel,Hills,3,549,rough,1
Hyundai,Creta,2003,184468,2.2,Automatic,Diesel,Highway,5,52,smooth,0
Mahindra,Scorpio,1999,173045,1.5,Manual,Petrol,Highway,4,557,smooth,0
Kia,Sportage,2016,65167,1.6,Manual,Petrol,Hills,3,23,smooth,0
Suzuki,Alto,2014,66576,2.2,Automatic,Petrol,Urban,4,177,rough,0
Tata,Altroz,2019,43503,1.7,Automatic,Diesel,Highway,4,425,normal,0
Kia,Sportage,2005,86324,2.2,Manual,Petrol,Hills,1,558,normal,1
Mahindra,Bolero,2009,166704,1.9,Automatic,Diesel,Hills,4,14,smooth,0
Toyota,Yaris,2009,107296,2.1,Automatic,Diesel,Hills,2,588,rough,1
Tata,Nexon,2005,181810,1.8,Manual,Diesel,Urban,5,107,normal,0
Toyota,Hilux,2009,57512,1.5,Automatic,Petrol,Hills,2,590,rough,1
Tata,Nexon,2021,13928,2.2,Automatic,Petrol,Urban,4,101,smooth,0
Tata,Tiago,2006,183046,0.8,Manual,Petrol,Urban,5,145,smooth,0
Suzuki,Alto,2017,171749,1.0,Automatic,Diesel,Highway,3,486,smooth,0
Suzuki,Alto,2012,155832,1.0,Manual,Petrol,Hills,5,397,normal,1
Tata,Tiago,2013,40083,1.8,Automatic,Petrol,Highway,1,259,normal,1
Mahindra,XUV300,2000,52949,2.3,Manual,Diesel,Highway,3,19,rough,0
Toyota,Corolla,2020,61618,2.3,Manual,Petrol,Highway,1,270,rough,1
Mahindra,Bolero,2003,26958,2.3,Automatic,Diesel,Hills,1,312,normal,1
Mahindra,Bolero,2012,171610,2.3,Automatic,Petrol,Urban,3,245,rough,1
Hyundai,i10,2011,97240,1.4,Manual,Diesel,Highway,2,18,rough,1
Mahindra,XUV300,2021,7073,2.2,Manual,Diesel,Hills,5,415,normal,1
Kia,Seltos,2006,60702,1.8,Manual,Petrol,Hills,3,115,normal,0
Suzuki,Swift,2017,110721,1.1,Manual,Diesel,Hills,2,277,smooth,1
Kia,Sportage,2013,22928,1.1,Automatic,Diesel,Hills,1,142,normal,1
Tata,Altroz,2018,112122,2.0,Automatic,Diesel,Hills,5,235,rough,1
Tata,Altroz,2018,46560,1.8,Automatic,Diesel,Urban,3,85,normal,0
Kia,Sonet,2017,46199,1.7,Automatic,Diesel,Hills,2,106,normal,0
Suzuki,Wagon R,2004,5669,1.8,Manual,Petrol,Highway,3,597,smooth,0
Kia,Sonet,2009,198647,2.2,Manual,Diesel,Highway,1,566,normal,1
Hyundai,i10,2007,128812,1.4,Automatic,Petrol,Urban,1,136,rough,0
Tata,Tiago,2004,184871,1.4,Manual,Petrol,Hills,2,32,smooth,0
Tata,Altroz,2001,87054,1.7,Manual,Petrol,Hills,1,541,normal,1
Suzuki,Alto,2005,185503,1.5,Manual,Petrol,Highway,1,270,smooth,1
Toyota,Yaris,2022,159113,1.0,Automatic,Diesel,Highway,5,25,smooth,0
Mahindra,Scorpio,2005,22322,1.3,Automatic,Diesel,Highway,2,82,normal,0
Hyundai,i10,2009,15651,1.2,Automatic,Diesel,Urban,3,291,rough,1
Hyundai,Venue,2018,148320,1.5,Manual,Diesel,Urban,2,190,smooth,1
Tata,Tiago,2010,17999,2.4,Automatic,Petrol,Urban,2,404,normal,1
Suzuki,Wagon R,2015,72902,1.8,Manual,Petrol,Urban,3,414,normal,0
Toyota,Hilux,2005,14164,1.2,Manual,Diesel,Hills,1,240,rough,1
Toyota,Yaris,2021,179057,1.7,Manual,Petrol,Highway,4,508,normal,0
Suzuki,Wagon R,2012,58329,1.2,Automatic,Petrol,Highway,3,307,normal,0
Hyundai,Creta,2004,147075,1.1,Automatic,Petrol,Highway,2,347,rough,1
Suzuki,Alto,2012,164101,1.2,Manual,Petrol,Highway,3,397,rough,1
Tata,Nexon,2000,90601,2.4,Automatic,Diesel,Hills,1,406,normal,1
Kia,Sonet,2011,48389,2.4,Manual,Diesel,Hills,3,354,smooth,1
Kia,Sportage,2010,118900,2.4,Automatic,Petrol,Highway,1,167,rough,0
Hyundai,i10,2013,85455,0.9,Manual,Diesel,Highway,5,579,smooth,1
Suzuki,Baleno,2015,146041,2.1,Automatic,Petrol,Highway,5,206,normal,0
Toyota,Yaris,2014,39668,1.8,Manual,Diesel,Highway,3,198,smooth,0
Toyota,Yaris,2010,93480,1.2,Manual,Diesel,Urban,5,505,normal,1
Toyota,Hilux,2000,7333,1.5,Manual,Diesel,Hills,2,268,rough,1
Hyundai,i20,2001,161920,1.1,Automatic,Petrol,Highway,2,354,smooth,1
Mahindra,XUV300,1999,43264,1.6,Manual,Diesel,Highway,4,145,smooth,0
Mahindra,Bolero,2021,144078,2.3,Manual,Diesel,Hills,5,253,rough,1
Tata,Altroz,2023,6143,1.8,Manual,Petrol,Highway,2,580,rough,1
Kia,Seltos,1998,53629,1.4,Manual,Diesel,Urban,3,383,smooth,1
Hyundai,Creta,2008,103972,1.5,Manual,Diesel,Urban,5,576,normal,1
Suzuki,Swift,2003,70782,2.3,Manual,Petrol,Hills,3,78,smooth,0
Kia,Sonet,2017,76185,2.3,Automatic,Petrol,Highway,1,598,smooth,1
Tata,Tiago,2013,32424,2.3,Manual,Petrol,Highway,3,171,smooth,0
Tata,Nexon,2002,12950,0.9,Manual,Diesel,Hills,2,218,normal,1
Mahindra,Scorpio,2007,33085,1.0,Manual,Petrol,Highway,4,14,smooth,0
Mahindra,Scorpio,2001,52592,1.7,Manual,Petrol,Urban,3,244,normal,0
Tata,Nexon,2010,96550,1.4,Automatic,Diesel,Hills,2,105,normal,1
Mahindra,Bolero,2010,69013,1.9,Manual,Diesel,Urban,5,114,smooth,0
Toyota,Corolla,2021,36149,1.3,Manual,Petrol,Highway,5,162,smooth,0
Toyota,Yaris,2016,193276,1.6,Manual,Petrol,Urban,1,153,normal,0
Kia,Sportage,2010,116532,1.3,Automatic,Petrol,Urban,1,219,rough,1
Hyundai,i10,2003,161349,2.3,Manual,Diesel,Hills,3,202,rough,1
Kia,Sportage,2006,92893,0.9,Automatic,Diesel,Urban,4,124,smooth,0
Toyota,Hilux,2003,94200,2.2,Automatic,Diesel,Urban,4,526,normal,1
Tata,Tiago,1999,116104,1.4,Manual,Petrol,Urban,5,380,normal,0
Suzuki,Swift,2014,164957,1.3,Automatic,Diesel,Highway,2,274,smooth,1
Toyota,Yaris,2017,143661,2.1,Manual,Petrol,Hills,5,339,normal,1
Tata,Tiago,2023,12754,1.1,Automatic,Diesel,Urban,1,303,normal,1
Mahindra,XUV300,2009,151617,0.9,Manual,Petrol,Highway,2,517,normal,1
Toyota,Yaris,1999,28358,1.4,Automatic,Diesel,Highway,4,84,smooth,0
Suzuki,Alto,2005,188353,2.1,Manual,Diesel,Urban,2,155,rough,1
Kia,Sportage,2021,30410,1.2,Manual,Diesel,Highway,3,553,rough,1
Toyota,Yaris,2009,98894,2.2,Manual,Diesel,Highway,5,541,normal,1
Mahindra,Bolero,2006,6034,1.9,Manual,Petrol,Highway,1,144,normal,0
Kia,Sportage,2001,21225,2.0,Automatic,Petrol,Urban,1,456,normal,1
Toyota,Hilux,2016,98533,1.0,Manual,Petrol,Highway,1,577,normal,1
Hyundai,Venue,2005,8380,1.9,Automatic,Petrol,Urban,5,111,rough,0
Suzuki,Swift,2013,52744,1.2,Automatic,Diesel,Highway,4,391,smooth,1
Suzuki,Swift,2005,74519,1.5,Manual,Petrol,Highway,2,75,normal,0
Tata,Nexon,2012,187027,0.9,Automatic,Petrol,Urban,2,478,normal,1
Toyota,Hilux,2017,178368,2.0,Manual,Diesel,Urban,3,306,rough,1
Toyota,Hilux,2005,115824,1.3,Manual,Petrol,Highway,3,98,rough,0
Tata,Tiago,2016,44770,2.0,Manual,Petrol,Highway,4,349,rough,1
Kia,Sonet,2015,166543,2.4,Manual,Diesel,Highway,2,386,normal,1
Suzuki,Wagon R,2020,75265,1.8,Automatic,Petrol,Urban,4,268,smooth,0
Kia,Sonet,2003,22450,1.4,Manual,Diesel,Urban,1,345,rough,1
Kia,Sportage,2017,153404,2.1,Manual,Petrol,Hills,5,13,rough,0
Toyota,Yaris,2005,147687,0.8,Manual,Petrol,Highway,3,417,normal,0
Suzuki,Baleno,2015,84666,1.7,Manual,Petrol,Hills,2,205,rough,1
Kia,Sportage,2023,13728,1.2,Manual,Petrol,Highway,1,310,smooth,1
Toyota,Hilux,2020,192007,1.3,Manual,Diesel,Hills,2,152,rough,1
Suzuki,Alto,2021,73949,1.7,Automatic,Diesel,Urban,5,111,smooth,0
Toyota,Hilux,2012,176877,1.8,Automatic,Petrol,Highway,4,220,normal,0
Tata,Tiago,2008,66805,1.6,Manual,Petrol,Highway,5,123,smooth,0
Mahindra,Bolero,2018,151079,1.0,Automatic,Petrol,Urban,1,317,smooth,1
Hyundai,i20,2023,127535,1.5,Automatic,Petrol,Urban,1,246,smooth,1
Suzuki,Alto,2022,70628,2.0,Manual,Petrol,Urban,1,553,rough,1
Suzuki,Swift,2006,4112,2.3,Automatic,Diesel,Hills,2,227,smooth,1
Hyundai,i10,2007,168154,1.7,Automatic,Diesel,Urban,3,40,smooth,0
Suzuki,Swift,2000,59625,2.1,Manual,Petrol,Urban,5,198,smooth,0
Tata,Tiago,2016,23967,0.9,Manual,Petrol,Urban,1,476,smooth,1
Suzuki,Wagon R,2023,192551,1.3,Manual,Petrol,Highway,2,517,rough,1
Hyundai,Creta,2002,133145,2.1,Manual,Petrol,Urban,1,7,normal,0
Suzuki,Baleno,2009,62321,2.1,Manual,Diesel,Urban,5,18,normal,0
Tata,Nexon,1999,62231,1.1,Automatic,Petrol,Hills,4,157,normal,0
Suzuki,Alto,1999,140164,2.3,Automatic,Petrol,Urban,5,307,rough,1
Mahindra,XUV300,2014,72278,1.0,Automatic,Diesel,Urban,4,567,rough,1
Kia,Sonet,2008,181271,1.2,Automatic,Diesel,Highway,2,428,normal,1
Tata,Nexon,2015,103353,0.9,Automatic,Diesel,Urban,5,23,smooth,0
Suzuki,Baleno,2013,149149,0.8,Manual,Petrol,Highway,5,441,normal,0
Kia,Seltos,2001,171449,0.8,Manual,Petrol,Urban,2,176,normal,0
Toyota,Corolla,2005,116849,1.7,Automatic,Diesel,Hills,1,278,rough,1
Kia,Sonet,1999,34941,1.8,Manual,Petrol,Urban,5,304,rough,1
Mahindra,XUV300,1999,46025,1.9,Manual,Petrol,Highway,2,16,rough,0
Tata,Altroz,2010,138611,1.1,Automatic,Diesel,Urban,3,244,rough,1
Toyota,Corolla,1999,193241,1.4,Manual,Petrol,Urban,1,139,rough,0
Suzuki,Alto,2010,6659,1.1,Automatic,Petrol,Highway,2,400,smooth,1
Kia,Seltos,2015,177823,0.9,Manual,Petrol,Hills,2,11,smooth,0
Tata,Tiago,2012,94150,1.8,Manual,Petrol,Highway,4,249,smooth,0
Suzuki,Baleno,2009,111024,1.9,Manual,Petrol,Urban,1,38,normal,0
Hyundai,i20,2003,129560,2.3,Automatic,Petrol,Urban,2,163,normal,0
Tata,Altroz,2002,7192,1.0,Manual,Petrol,Urban,5,248,rough,1
Toyota,Corolla,2018,25778,2.3,Automatic,Petrol,Hills,2,500,smooth,1
Suzuki,Baleno,2012,195268,1.2,Automatic,Diesel,Hills,2,58,rough,1
Hyundai,i10,2015,160044,2.0,Automatic,Petrol,Highway,4,217,smooth,1
Hyundai,i10,2012,174448,1.7,Automatic,Diesel,Hills,1,588,smooth,1
Mahindra,Scorpio,2005,159565,1.1,Manual,Petrol,Highway,5,90,normal,0
Suzuki,Wagon R,2005,185129,1.3,Automatic,Diesel,Highway,1,546,normal,1
Toyota,Hilux,2015,20705,1.1,Manual,Diesel,Hills,1,197,rough,1
Tata,Altroz,2005,11951,1.8,Automatic,Diesel,Hills,2,333,smooth,1
Mahindra,XUV300,2012,66209,2.1,Automatic,Petrol,Highway,4,31,rough,0
Hyundai,i20,2004,142291,1.2,Manual,Petrol,Highway,3,159,rough,0
Suzuki,Alto,2010,123014,0.9,Manual,Diesel,Hills,3,231,normal,1
